unique,episode,number_characters,tension,happy,crime,gruesomeness,romantic,dexter_inner_thoughts,location,dead_body_count,detectives_at_scence,funniness,scene_time,crime_solved,lighting,blood_sample,interaction_with_sister,dexter_screentime
7_22,7,2,2,0,0,0,1,0,2,0,0,2,53,0,2,0,0,0
7_23,7,1,1,0,0,0,1,0,1,0,0,1,52,0,2,0,0,0
7_24,7,2,1,0,0,0,0,0,4,0,0,1,24,0,3,0,0,0
7_25,7,1,1,0,0,0,0,0,1,0,0,1,75,0,3,0,0,0
7_26,7,1,1,0,0,0,0,0,4,0,0,1,83,0,3,0,0,0
7_27,7,1,1,0,0,0,0,0,2,0,0,1,7,0,2,0,0,7
7_28,7,1,1,0,0,0,0,0,4,0,0,1,4,0,3,0,0,0
7_29,7,2,2,0,1,1,0,0,2,5,0,1,65,0,2,0,0,42
7_30,7,2,2,0,0,0,0,0,2,0,0,1,58,0,2,0,0,0
10_1,10,5,1,1,0,0,0,0,1,0,0,3,66,0,5,0,0,66
10_2,10,10,3,1,1,1,0,1,2,0,1,3,99,0,5,0,1,67
10_3,10,20,3,0,1,1,0,2,3,0,3,1,240,0,3,0,2,170
10_4,10,4,2,0,0,0,0,0,4,0,1,1,52,0,3,0,0,0
10_5,10,8,3,0,1,1,0,0,3,0,0,1,130,0,3,1,0,130
10_6,10,8,2,0,0,0,0,0,2,0,0,1,104,0,5,1,1,66
10_7,10,2,2,0,0,0,0,1,1,0,0,1,71,0,3,0,0,0
10_8,10,2,2,0,0,0,1,0,4,0,0,1,102,0,3,0,0,0
10_9,10,10,1,1,0,0,1,0,4,0,0,3,78,0,2,0,0,0
10_10,10,2,1,0,0,0,0,2,1,0,0,1,58,0,2,0,0,58
10_11,10,5,2,0,0,0,0,3,2,0,0,1,110,0,5,1,2,110
10_12,10,6,1,0,0,0,0,0,1,0,0,1,75,0,3,0,0,61
10_13,10,3,3,0,0,1,0,2,4,1,0,1,88,0,3,0,0,88
10_14,10,1,1,0,0,0,0,0,4,0,0,1,25,0,3,0,0,25
10_15,10,2,2,0,1,1,0,0,3,0,2,1,75,0,3,0,0,0
10_16,10,3,1,0,0,0,0,0,1,0,0,1,142,0,2,0,0,108
10_17,10,4,2,1,0,0,1,0,4,0,0,3,177,0,2,0,0,0
10_18,10,2,1,0,0,0,0,1,1,0,0,1,167,0,2,0,0,167
10_19,10,4,1,1,0,0,0,0,2,0,0,1,123,0,5,0,0,0
10_20,10,12,1,1,0,1,0,1,2,0,0,1,217,0,5,0,1,195
10_21,10,2,2,0,0,0,0,0,4,0,0,1,113,0,3,0,0,0
10_22,10,5,1,1,1,1,1,0,4,1,1,3,89,0,3,1,1,89
10_23,10,6,1,0,0,0,0,2,1,0,0,1,196,0,3,0,0,143
10_24,10,2,2,0,0,0,0,0,4,0,0,1,32,0,2,0,0,32
10_25,10,10,2,0,0,0,0,0,3,0,0,1,93,0,3,0,0,0
10_26,10,5,1,1,0,0,0,1,1,0,0,1,54,0,3,0,0,54
10_27,10,3,1,0,1,0,0,1,4,0,0,1,30,0,2,0,0,0
10_28,10,4,1,1,0,0,0,0,1,0,0,1,16,0,3,0,0,16
10_29,10,4,3,0,1,1,0,0,4,0,0,1,64,0,2,0,0,0
10_30,10,3,1,1,0,0,1,0,2,0,0,1,126,0,5,0,0,0
10_31,10,3,2,0,1,1,0,1,4,0,0,1,108,0,2,0,0,180
11_1,11,4,3,0,1,1,1,3,3,0,2,1,135,0,2,0,2,135
11_2,11,2,1,1,0,0,0,0,4,0,0,1,38,0,2,0,0,0
11_3,11,2,3,1,1,1,1,0,4,0,0,1,122,0,2,0,0,0
11_4,11,8,1,0,0,0,0,1,4,0,0,1,139,0,3,0,0,139
11_5,11,2,3,1,1,1,1,0,4,1,0,1,210,0,2,0,0,0
11_6,11,2,1,1,0,0,0,0,2,0,0,3,90,1,5,0,0,90
11_7,11,8,3,1,1,0,0,1,3,1,4,1,263,0,3,0,2,193
11_8,11,3,1,1,0,0,0,0,1,0,0,1,43,0,3,0,0,0
11_9,11,3,1,1,0,0,1,0,4,0,0,1,101,0,3,0,1,101
11_10,11,3,1,1,0,0,0,0,4,0,0,3,91,0,3,0,0,0
11_11,11,8,1,1,0,0,0,1,3,0,0,1,178,0,3,1,1,113
11_12,11,3,1,0,0,0,0,1,4,0,0,1,65,0,2,0,0,65
11_13,11,2,1,0,0,0,0,0,4,0,0,1,87,0,3,0,0,87
11_14,11,3,1,0,0,0,0,0,1,0,0,1,49,0,3,0,0,49
11_15,11,4,1,0,0,0,0,1,4,0,0,1,85,0,3,0,0,85
11_16,11,7,1,1,0,0,0,0,2,0,0,1,47,0,3,0,0,0
11_17,11,3,1,0,0,0,0,0,4,0,0,1,128,0,3,0,0,0
11_18,11,2,2,0,0,0,0,0,2,0,0,1,117,0,2,0,0,0
11_19,11,3,2,1,0,0,0,0,4,0,0,2,135,0,4,0,0,0
11_20,11,2,2,1,0,0,0,1,4,0,0,2,73,0,4,0,0,73
11_21,11,4,3,1,0,0,0,1,2,0,0,2,138,0,5,0,1,41
11_22,11,1,3,0,0,0,0,2,4,0,0,2,71,0,2,1,0,71
11_23,11,2,2,1,0,0,1,0,4,0,0,2,130,0,2,0,0,0
11_24,11,2,3,0,0,0,0,0,2,0,0,1,30,0,3,1,0,30
11_25,11,2,3,1,1,0,1,0,4,0,0,1,151,0,2,0,0,0
11_26,11,4,3,0,1,0,0,0,2,0,0,1,117,1,4,0,0,117
11_27,11,2,3,0,1,0,0,0,4,0,0,1,26,0,1,0,0,0
